date;facebook_prophet;excel;calc;fact
29.07.2017;12127314979900;14387462899705;12127314979900;11948699897101
30.07.2017;12283083919200;14390527109525;12283083919200;14671039703847
31.07.2017;12427148766700;14393591319346;12427148766700;14099765647557
01.08.2017;12554971346800;14396655529166;12554971346800;15144372593578
02.08.2017;12689282570500;14399719738986;12689282570500;14598401765660
03.08.2017;12828655693500;14402783948807;12828655693500;14134531545166
04.08.2017;12975773990500;14405082106172;12975773990500;14592546239071
05.08.2017;13100973829900;14408146315992;13100973829900;14105267857329
06.08.2017;13246892609500;14411210525812;13246892609500;14698719760186
07.08.2017;13382696195900;14414274735633;13382696195900;
08.08.2017;13503728930200;14417338945453;13503728930200;
09.08.2017;13632570216100;14420403155273;13632570216100;
10.08.2017;13767614328300;14423467365094;13767614328300;
11.08.2017;13911345109300;14425765522459;13911345109300;
12.08.2017;14033886323100;14428829732279;14033886323100;
13.08.2017;14177656909700;14431893942099;14177656909700;
14.08.2017;14311605571000;14434958151920;14311605571000;
15.08.2017;14430867547900;14438022361740;14430867547900;
16.08.2017;14557827418700;14441086571560;14557827418700;
17.08.2017;14690704391700;14444150781381;14690704391700;
18.08.2017;14831831618800;14447214991201;14831831618800;
19.08.2017;14951210190200;14449513148566;14951210190200;
20.08.2017;15091166972000;14452577358386;15091166972000;
21.08.2017;15220590674000;14455641568207;15220590674000;
22.08.2017;15334588993200;14458705778027;15334588993200;
23.08.2017;15455550687700;14461769987847;15455550687700;
24.08.2017;15581729106600;14464834197668;15581729106600;
25.08.2017;15715518789500;14467898407488;15715518789500;
26.08.2017;15827005906400;14470196564853;15827005906400;
27.08.2017;15958621837900;14473260774674;15958621837900;
28.08.2017;16079374436200;14476324984494;16079374436200;
29.08.2017;16184499983000;14479389194314;16184499983000;
30.08.2017;16296519875900;14482453404134;16296519875900;
31.08.2017;16413818750800;14485517613955;16413818750800;
01.09.2017;16538915832600;14488581823775;16538915832600;
02.09.2017;16642010455300;14490879981140;16642010455300;
03.09.2017;16765631211400;14493944190961;16765631211400;
04.09.2017;16878863408900;14497008400781;16878863408900;
05.09.2017;16976997973700;14500072610601;16976997973700;
06.09.2017;17082585921600;14503136820421;17082585921600;
07.09.2017;17194015172500;14506201030242;17194015172500;
08.09.2017;17313781537600;14509265240062;17313781537600;
09.09.2017;17412034825200;14511563397427;17412034825200;
10.09.2017;17531229501200;14514627607248;17531229501200;
11.09.2017;17640354530800;14517691817068;23040354530800;
12.09.2017;17734585455000;14520756026888;23134585455000;
13.09.2017;17836342723100;14523820236709;23236342723100;
14.09.2017;17943872926500;14526884446529;23343872926500;
15.09.2017;18059524618000;14529948656349;23459524618000;
16.09.2017;18153299508000;14532246813714;23553299508000;
17.09.2017;18267508306200;14535311023535;23667508306200;
18.09.2017;18371005668800;14538375233355;29171005668800;
19.09.2017;18458847139400;14541439443175;29258847139400;
20.09.2017;18553351946200;14544503652996;29353351946200;
21.09.2017;18652688155800;14547567862816;29452688155800;
22.09.2017;18759151739400;14550632072636;29559151739400;
23.09.2017;18842720233800;14553696282456;29642720233800;
24.09.2017;18945710183800;14555994439822;29745710183800;
25.09.2017;19037012765600;14559058649642;46537012765600;
26.09.2017;19111750453700;14562122859462;46611750453700;
27.09.2017;19192338591400;14565187069283;46692338591400;
28.09.2017;19277068396200;14568251279103;46777068396200;
29.09.2017;19368383011900;14571315488923;46868383011900;
30.09.2017;19436427376700;14574379698744;46936427376700;
01.10.2017;19523701198900;14576677856109;47023701198900;
02.10.2017;19599289571700;14579742065929;63799289571700;
03.10.2017;19658514234700;14582806275749;63858514234700;
04.10.2017;19723989501500;14585870485570;63923989501500;
05.10.2017;19794199549900;14588934695390;63994199549900;
06.10.2017;19871768859100;14591998905210;64071768859100;
07.10.2017;19927006727600;14595063115031;64127006727600;
08.10.2017;20002555325300;14597361272396;64202555325300;
09.10.2017;20067615960600;14600425482216;75567615960600;
10.10.2017;20117596699900;14603489692036;75617596699900;
11.10.2017;20175165472000;14606553901857;75675165472000;
12.10.2017;20238825443900;14609618111677;75738825443900;
13.10.2017;20311184510600;14612682321497;75811184510600;
14.10.2017;20362499869100;14615746531318;75862499869100;
15.10.2017;20435327134900;14618044688683;75935327134900;
16.10.2017;20498748655400;14621108898503;87298748655400;
17.10.2017;20548024105600;14624173108323;87348024105600;
18.10.2017;20605647418000;14627237318144;87405647418000;
19.10.2017;20669926727300;14630301527964;87469926727300;
20.10.2017;20743259046200;14633365737784;87543259046200;
21.10.2017;20795680497100;14636429947605;87595680497100;
22.10.2017;20869521397900;14638728104970;87669521397900;
23.10.2017;20933640690500;14641792314790;87733640690500;
24.10.2017;20983082621700;14644856524611;87783082621700;
25.10.2017;21040139558300;14647920734431;87840139558300;
26.10.2017;21102937449900;14650984944251;87902937449900;
27.10.2017;21173715499300;14654049154071;87973715499300;
28.10.2017;21222380723500;14657113363892;88022380723500;
29.10.2017;21291166583500;14659411521257;88091166583500;
30.10.2017;21348870067700;14662475731077;88148870067700;
31.10.2017;21390510068200;14665539940898;88190510068200;
01.11.2017;21438390882300;14668604150718;88238390882300;
02.11.2017;21490687333600;14671668360538;88290687333600;
03.11.2017;21549723086200;14674732570358;88349723086200;
04.11.2017;21585522872800;14677796780179;88385522872800;
05.11.2017;21640467882300;14680860989999;88440467882300;
06.11.2017;21683528785200;14683159147364;88483528785200;
07.11.2017;21709919352700;14686223357185;88509919352700;
08.11.2017;21742154635800;14689287567005;88542154635800;
09.11.2017;21778630352200;14692351776825;88578630352200;
10.11.2017;21821895214900;14695415986646;88621895214900;
11.11.2017;21842197093200;14698480196466;88642197093200;
12.11.2017;21882132422700;14701544406286;88682132422700;
13.11.2017;21910873509900;14703842563651;94335873509900;
14.11.2017;21923816846300;14706906773472;94348816846300;
15.11.2017;21943636546200;14709970983292;94368636546200;
16.11.2017;21968859685700;14713035193112;94393859685700;
