blockNumber;time;netHashPerSecond
144;1390104014.00;17984
288;1390104236.00;680168
432;1390104435.00;758780
576;1390104650.00;702313
720;1390105180.00;1139602
864;1390105619.00;1375829
1008;1390106034.00;1455395
1152;1390107278.00;485522
1296;1390108858.00;1529086
1440;1390109646.00;3065934
1584;1390110175.00;4567025
1728;1390110693.00;4664008
1872;1390111969.00;7573530
2016;1390112848.00;10994111
2160;1390113965.00;8651588
2304;1390114958.00;9731948
2448;1390118951.00;9680765
2592;1390119965.00;38121593
2736;1390120513.00;70538860
2880;1390121148.00;60874481
3024;1390123027.00;82289080
3168;1390128226.00;29740562
3312;1390131367.00;49226737
3456;1390133232.00;82906800
3600;1390141403.00;75692660
3744;1390147393.00;103252876
3888;1390153177.00;106930278
4032;1390158352.00;119513957
4176;1390181589.00;91729370
4320;1390201129.00;109084717
4464;1390217068.00;133729554
4608;1390235598.00;115030511
4752;1390248621.00;183064445
4896;1390261708.00;182169196
5040;1390275335.00;174950339
5184;1390290385.00;158408523
5328;1390336947.00;81112912
5472;1390449716.00;33491291
5616;1390604156.00;24454671
5760;1390784924.00;20892965
5904;1390831226.00;20392097
6048;1390860345.00;32425387
6192;1390888351.00;33714020
6336;1390907599.00;49054180
6480;1390920827.00;50221865
6624;1390933077.00;54231415
6768;1390946115.00;50953738
6912;1390958024.00;55784267
7056;1390987287.00;38859482
7200;1391019864.00;34906376
7344;1391049497.00;38374279
7488;1391077836.00;40126504
7632;1391087361.00;86067912
7776;1391096672.00;88046060
7920;1391104360.00;106633307
8064;1391114011.00;84944241
8208;1391140492.00;74025544
8352;1391176951.00;53766434
8496;1391212770.00;54727112
8640;1391246442.00;58216632
8784;1391266895.00;62570337
8928;1391283796.00;75720436
9072;1391301399.00;72700738
9216;1391322075.00;61895487
9360;1391345851.00;61383135
9504;1391359381.00;107867363
9648;1391366770.00;197515959
9792;1391374554.00;187492988
9936;1391394701.00;119438253
10080;1391409209.00;165861765
10224;1391422521.00;180763407
10368;1391436445.00;172818334
10512;1391455204.00;179432639
10656;1391472636.00;193091835
10800;1391491488.00;178547468
10944;1391509410.00;187812570
11088;1391530175.00;191906277
11232;1391548778.00;214209206
11376;1391570123.00;186691677
11520;1391589617.00;204418480
11664;1391604016.00;297674162
11808;1391617332.00;321884219
11952;1391630353.00;329176735
12096;1391642920.00;341068693
12240;1391658848.00;436508063
12384;1391671480.00;550403770
12528;1391685433.00;498294304
12672;1391699973.00;478177471
12816;1391715652.00;672764371
12960;1391734332.00;564682686
13104;1391753327.00;555318377
13248;1391783476.00;349871391
13392;1391811876.00;384271690
13536;1391832041.00;541200892
13680;1391850434.00;593340727
13824;1391865623.00;718501283
13968;1391878985.00;857129454
14112;1391892083.00;874405540
14256;1391899384.00;1568684257
14400;1391905210.00;1965836553
14544;1391914654.00;2658499775
14688;1391922691.00;3123910896
14832;1391932511.00;2556707930
14976;1391941888.00;2677495134
15120;1392004174.00;945229935
15264;1392083761.00;470960521
15408;1392103932.00;1055377270
15552;1392125311.00;1174747086
15696;1392146632.00;1189545283
15840;1392168553.00;1272315009
15984;1392191467.00;633910723
16128;1392210504.00;961226623
16272;1392230843.00;1383464014
16416;1392255985.00;880460822
16560;1392277127.00;838181724
16704;1392297661.00;959084468
16848;1392320235.00;903924491
16992;1392341388.00;940667308
17136;1392364423.00;821217585
17280;1392384670.00;984975697
17424;1392406588.00;976208008
17568;1392430393.00;671280145
17712;1392449499.00;953952189
17856;1392470392.00;1084528715
18000;1392490398.00;1300361284
18144;1392512218.00;1402267186
18288;1392533758.00;1460909161
18432;1392553233.00;2231793433
18576;1392577549.00;1776813815
18720;1392597833.00;1589961867
18864;1392617468.00;1942760115
19008;1392637703.00;2529478417
19152;1392659445.00;2764751396
19296;1392680683.00;3208895227
19440;1392700475.00;3866986122
19584;1392722320.00;4068544064
19728;1392743774.00;4040855179
19872;1392766332.00;3849861898
20016;1392786739.00;4382329601
20160;1392809992.00;3710257320
20304;1392831538.00;3261227185
20448;1392853034.00;3430818903
20592;1392874128.00;3777429522
20736;1392894245.00;4392527142
20880;1392915282.00;4724309751
21024;1392937968.00;4434045011
21168;1392960115.00;4625221253
21312;1392981181.00;5267427848
21456;1393001774.00;5646329393
21600;1393024239.00;5498956883
21744;1393045098.00;6744590888
21888;1393066164.00;6392511762
22032;1393087822.00;6278008532
22176;1393108972.00;6920847585
22320;1393132007.00;5831621118
22464;1393155215.00;4942625461
22608;1393176608.00;4873591783
22752;1393198078.00;5481211734
22896;1393218985.00;6070575045
23040;1393240555.00;5977239619
23184;1393261559.00;6535236220
23328;1393283752.00;6272358956
23472;1393308215.00;4861205903
23616;1393328656.00;5645418454
23760;1393349277.00;5431318817
23904;1393372492.00;4705618647
24048;1393393109.00;5556916498
24192;1393417111.00;4803149698
24336;1393439916.00;4019892705
24480;1393462391.00;4050764275
24624;1393482507.00;4277614633
24768;1393503979.00;3935972483
24912;1393525811.00;3812938854
25056;1393547399.00;4136244139
25200;1393568822.00;3961118368
25344;1393590110.00;4166344691
25488;1393612371.00;4342628045
25632;1393633439.00;4259030764
25776;1393656142.00;3995931272
25920;1393676417.00;5240534637
26064;1393696287.00;6292963679
26208;1393717844.00;6834814234
26352;1393738027.00;8485614965
26496;1393761190.00;7681870893
26640;1393784037.00;6369620174
26784;1393806375.00;6469089579
26928;1393826678.00;6914772130
27072;1393848061.00;8896983327
27216;1393869933.00;8136427054
27360;1393891115.00;8382838321
27504;1393915254.00;7301524405
27648;1393934924.00;7145731598
27792;1393956596.00;7416352188
27936;1393977657.00;6781797101
28080;1394000592.00;7707589415
28224;1394022617.00;7411346404
28368;1394042966.00;8468399507
28512;1394066315.00;7535991258
28656;1394088256.00;7245002178
28800;1394108804.00;8071822295
28944;1394131381.00;7639757492
29088;1394151628.00;7678194047
29232;1394172728.00;8733689992
29376;1394198844.00;5775436869
29520;1394218214.00;7120524567
29664;1394239246.00;8385574204
29808;1394262387.00;7914765563
29952;1394282905.00;8455809811
30096;1394305257.00;7739692589
30240;1394325464.00;8487111872
30384;1394348997.00;8006767655
30528;1394369435.00;8695699950
30672;1394390337.00;9590790958
30816;1394411016.00;9747869113
30960;1394434632.00;8479118720
31104;1394456240.00;9077501144
31248;1394477217.00;10431559128
31392;1394500315.00;9130198619
31536;1394520867.00;7858919362
31680;1394543626.00;7998832142
31824;1394564914.00;7978693524
31968;1394586894.00;9579743139
32112;1394607135.00;9118037365
32256;1394627700.00;10356299863
32400;1394649669.00;9679448703
32544;1394671811.00;10323940742
32688;1394693414.00;7327466370
32832;1394713736.00;8103425652
32976;1394735016.00;9842089035
33120;1394757313.00;8872075132
33264;1394778766.00;8926915292
33408;1394801582.00;8107496613
33552;1394824358.00;7555577361
33696;1394844461.00;8595412092
33840;1394865320.00;9286403509
33984;1394887851.00;8300022588
34128;1394909539.00;8461079364
34272;1394932541.00;6373085457
34416;1394953196.00;7311628849
34560;1394974908.00;8680471178
34704;1394997072.00;8575475020
34848;1395018662.00;8641154991
34992;1395038930.00;9619946442
35136;1395062149.00;7210815054
35280;1395083615.00;8785821613
35424;1395105374.00;8485314592
35568;1395127078.00;8472968196
35712;1395148547.00;8666190968
35856;1395170281.00;9042205280
36000;1395191416.00;8274642108
36144;1395214322.00;8536246073
36288;1395236059.00;8269785256
36432;1395257089.00;9921260387
36576;1395278687.00;9218305585
36720;1395301489.00;8454293097
36864;1395323858.00;8791819081
37008;1395343520.00;10801516810
37152;1395366430.00;8020114163
37296;1395387831.00;8364417305
37440;1395409591.00;9201746962
37584;1395430458.00;8988015428
37728;1395453176.00;8221185258
37872;1395474534.00;8031377776
38016;1395496549.00;8863674528
38160;1395518824.00;8852010527
38304;1395539424.00;9658256652
38448;1395561703.00;8940763871
38592;1395582960.00;9327240279
38736;1395604918.00;10354858196
38880;1395626425.00;9055759663
39024;1395648763.00;8747385851
39168;1395669329.00;10568987982
39312;1395692235.00;12057098891
39456;1395712655.00;12546840827
39600;1395734325.00;12062558374
39744;1395757015.00;10219804903
39888;1395777962.00;11494416733
40032;1395800119.00;13171862216
40176;1395821041.00;11327646430
40320;1395842974.00;13344595336
40464;1395864321.00;11840268199
40608;1395886613.00;11851994758
40752;1395908946.00;11655883906
40896;1395930576.00;11217315930
41040;1395951362.00;12996547497
41184;1395973794.00;12481237487
41328;1395995138.00;12825664072
41472;1396016700.00;11937837868
41616;1396038563.00;13540489018
41760;1396060510.00;13391619235
41904;1396082217.00;12335077048
42048;1396103494.00;13670399391
42192;1396125064.00;12646179548
42336;1396146340.00;14733873099
42480;1396168254.00;11777615745
42624;1396190682.00;13483747629
42768;1396212691.00;14196293527
42912;1396233964.00;16465260468
43056;1396255234.00;11788570288
43200;1396277611.00;12871601999
43344;1396298828.00;13297752784
43488;1396320450.00;14941101320
43632;1396341845.00;13358574841
43776;1396364232.00;14784316864
43920;1396385706.00;13400412943
44064;1396407556.00;15781697210
44208;1396428619.00;14897734482
44352;1396450458.00;12837145178
44496;1396472038.00;14002959354
44640;1396495058.00;14359343070
44784;1396516417.00;15372186406
44928;1396537957.00;15378076522
45072;1396558742.00;15642320860
45216;1396581986.00;13633358863
45360;1396604044.00;11397489620
45504;1396625156.00;12827429404
45648;1396646224.00;12011536499
45792;1396668951.00;13304124537
45936;1396689712.00;17303776264
46080;1396711906.00;11721311007
46224;1396733164.00;13395224945
46368;1396755256.00;11657312758
46512;1396776584.00;11825967968
46656;1396799051.00;13436839153
46800;1396820105.00;14079777986
46944;1396842036.00;12595405297
47088;1396864239.00;11896115932
47232;1396886190.00;11850563196
47376;1396907125.00;13285682930
47520;1396929619.00;13493758003
47664;1396951190.00;14059218388
47808;1396971733.00;16965570047
47952;1396993927.00;13644385717
48096;1397015447.00;13197506710
48240;1397037525.00;15846350541
48384;1397058995.00;11839237561
48528;1397080904.00;15161861836
48672;1397101882.00;13170957073
48816;1397123803.00;16430468290
48960;1397145542.00;15378058341
49104;1397167349.00;12789605765
49248;1397189203.00;14728439218
49392;1397210737.00;11306952816
49536;1397231639.00;13614836266
49680;1397253539.00;14296154034
49824;1397275922.00;14008794704
49968;1397297081.00;12764933832
50112;1397318827.00;18109567791
50256;1397340987.00;13117411022
50400;1397362346.00;13079043959
50544;1397384216.00;11642841776
50688;1397405830.00;13569946906
50832;1397427851.00;12307071396
50976;1397449884.00;13050703768
51120;1397471212.00;14471364549
51264;1397492411.00;12900192880
51408;1397514981.00;11367021006
51552;1397535762.00;10360078647
51696;1397558140.00;11833798799
51840;1397578765.00;13141567857
51984;1397600616.00;13556308945
52128;1397622891.00;11773894293
52272;1397645142.00;11705515152
52416;1397665737.00;11015882475
52560;1397687570.00;12519811448
52704;1397709942.00;11055177348
52848;1397731753.00;13829184328
52992;1397752614.00;12617616491
53136;1397773971.00;12725795479
53280;1397796221.00;12791187999
53424;1397817616.00;13191240698
53568;1397839275.00;13225723517
53712;1397861021.00;13274516075
53856;1397882218.00;13585552334
54000;1397904389.00;15301143037
54144;1397926054.00;10294679482
54288;1397947900.00;10740962300
54432;1397970030.00;12381998666
54576;1397991064.00;12333293473
54720;1398012545.00;12026921937
54864;1398034708.00;11096384287
55008;1398056122.00;11679154485
55152;1398078334.00;10835634075
55296;1398100087.00;9680661941
55440;1398120625.00;11869221674
55584;1398143174.00;11137260971
55728;1398165480.00;12141300966
55872;1398187043.00;11193591116
56016;1398208898.00;12661553809
56160;1398229510.00;14222469644
56304;1398250836.00;16074699276
56448;1398272916.00;13435504195
56592;1398294626.00;16146444177
56736;1398316831.00;14786623995
56880;1398338552.00;15197456122
57024;1398359289.00;13912006030
57168;1398381080.00;18487970252
57312;1398403025.00;18080419682
57456;1398424442.00;19403286546
57600;1398446261.00;19732022996
57744;1398467511.00;21652217721
57888;1398489123.00;20726995134
58032;1398510772.00;22505885983
58176;1398532166.00;29905894898
58320;1398553828.00;28049698404
58464;1398576224.00;22997735984
58608;1398597653.00;28807381412
58752;1398617979.00;28936493687
58896;1398640801.00;29863214815
59040;1398662347.00;26187581346
59184;1398683538.00;28115697176
59328;1398704851.00;29215797257
59472;1398727573.00;30198412736
59616;1398748960.00;26311433590
59760;1398770863.00;28596477153
59904;1398792308.00;24687857757
60048;1398813144.00;27491150971
60192;1398834829.00;28117956276
60336;1398857318.00;25844352144
60480;1398878766.00;25937950242
60624;1398900393.00;28188410196
60768;1398921582.00;28649709671
60912;1398943221.00;33586049032
61056;1398965131.00;26565697202
61200;1398987382.00;24920686772
61344;1399009566.00;25233555939
61488;1399030302.00;27462146446
61632;1399051460.00;31771806932
61776;1399074531.00;22516866327
61920;1399095287.00;22865955379
62064;1399117768.00;19033004118
62208;1399139223.00;26163292911
62352;1399161378.00;22676496798
62496;1399182708.00;22953557041
62640;1399204144.00;25711016068
62784;1399225918.00;28706456019
62928;1399247571.00;27273613102
63072;1399268991.00;25945113801
63216;1399290793.00;28514436553
63360;1399312324.00;30712259392
63504;1399333988.00;32238017174
63648;1399356103.00;35566098587
63792;1399377506.00;30432180988
63936;1399399894.00;31228998720
64080;1399421162.00;29007881559
64224;1399442183.00;39679416919
64368;1399463585.00;33561803595
64512;1399485297.00;35517594329
64656;1399507284.00;36148981619
64800;1399529205.00;30555085151
64944;1399550702.00;29936100032
65088;1399573054.00;37034255828
65232;1399593829.00;32948472604
65376;1399615851.00;29653466633
65520;1399637538.00;29025731370
65664;1399659026.00;31417716684
65808;1399681096.00;33432608216
65952;1399702627.00;32170830262
66096;1399724350.00;40843976216
66240;1399746164.00;34127863488
66384;1399767807.00;38689419440
66528;1399789517.00;39910671229
66672;1399811424.00;43990413734
66816;1399832490.00;50190163107
66960;1399854402.00;40513582700
67104;1399876911.00;38728223963
67248;1399898657.00;35785677511
67392;1399920510.00;37877060157
67536;1399941466.00;44951785119
67680;1399962561.00;44669899509
67824;1399984817.00;37605158498
67968;1400005949.00;40639924088
68112;1400028466.00;44213554520
68256;1400049944.00;40620462334
68400;1400072139.00;41112299972
68544;1400092498.00;40675274637
68688;1400114764.00;44781301069
68832;1400137715.00;62128446522
68976;1400160621.00;61215042172
69120;1400182937.00;70591383790
69264;1400205204.00;76140274327
69408;1400228156.00;66431026786
69552;1400250616.00;63867644910
69696;1400274446.00;68266665614
69840;1400296353.00;53899644351
69984;1400318561.00;63619684756
70128;1400341576.00;61865224646
70272;1400364648.00;56850998662
70416;1400386996.00;54023818646
70560;1400409782.00;53804480698
70704;1400433110.00;48984155086
70848;1400455315.00;53662298161
70992;1400478101.00;46649449083
71136;1400500214.00;59475419366
71280;1400523203.00;52358344156
71424;1400545772.00;55880152031
71568;1400568810.00;52984290899
71712;1400590689.00;64675451156
71856;1400613271.00;70014164295
72000;1400637316.00;57852506829
72144;1400659091.00;63824286883
72288;1400682058.00;61021618051
72432;1400704304.00;64347565173
72576;1400727667.00;64540572829
72720;1400749323.00;65664859249
72864;1400771797.00;81732524281
73008;1400794729.00;80007335512
73152;1400818557.00;80621390752
73296;1400839470.00;98758317777
73440;1400862602.00;93281788199
73584;1400885332.00;107318000000
73728;1400907205.00;117875000000
73872;1400930320.00;125519000000
74016;1400953269.00;103067000000
74160;1400975859.00;89532473954
74304;1400998177.00;96219903359
74448;1401020661.00;82084192513
74592;1401043763.00;82817266646
74736;1401066434.00;69940712481
74880;1401089631.00;71054943458
75024;1401112073.00;72327184221
75168;1401135971.00;55606473532
75312;1401158320.00;54419385050
75456;1401180432.00;78675635216
75600;1401203895.00;86958109282
75744;1401225939.00;91167024594
75888;1401247181.00;164847000000
76032;1401270463.00;175770000000
76176;1401293575.00;148413000000
76320;1401316754.00;91382559913
76464;1401339136.00;85535312425
76608;1401362201.00;74325324318
76752;1401384633.00;90880530834
76896;1401408683.00;73121855264
77040;1401430291.00;78253445862
77184;1401453436.00;85209959187
77328;1401475244.00;92491020080
77472;1401498164.00;112914000000
77616;1401520006.00;139073000000
77760;1401543441.00;98807402734
77904;1401566486.00;114098000000
78048;1401588690.00;113620000000
78192;1401611512.00;122133000000
78336;1401633710.00;118478000000
78480;1401656210.00;161573000000
78624;1401678740.00;172535000000
78768;1401701252.00;175130000000
78912;1401724666.00;168038000000
79056;1401746703.00;154989000000
79200;1401769631.00;153372000000
79344;1401792305.00;140761000000
79488;1401815097.00;133900000000
79632;1401839203.00;103848000000
79776;1401860482.00;112223000000
79920;1401883643.00;95516980215
80064;1401906119.00;101462000000
80208;1401929992.00;88740821946
80352;1401952111.00;92704852788
80496;1401974512.00;98027453967
80640;1401997106.00;104174000000
80784;1402019527.00;102265000000
80928;1402042680.00;96432301146
81072;1402064604.00;107929000000
81216;1402088572.00;106219000000
81360;1402109419.00;104931000000
81504;1402133038.00;114153000000
81648;1402156132.00;101222000000
81792;1402178690.00;100145000000
81936;1402201191.00;103768000000
82080;1402223455.00;112131000000
82224;1402246440.00;103711000000
82368;1402269316.00;97906599720
82512;1402291594.00;95646489939
82656;1402314281.00;90708353112
82800;1402337881.00;86795238288
82944;1402359449.00;98801801261
83088;1402383113.00;85878248763
83232;1402404175.00;100505000000
83376;1402427705.00;100856000000
83520;1402450479.00;113881000000
83664;1402473815.00;108023000000
83808;1402495966.00;94413533933
83952;1402518583.00;92566728164
84096;1402541142.00;92714398263
84240;1402563430.00;93482597323
84384;1402587020.00;82158259989
84528;1402609373.00;102761000000
84672;1402631621.00;99622058773
84816;1402654742.00;90321610220
84960;1402677143.00;93318828712
85104;1402699447.00;97399972791
85248;1402722137.00;96199949534
85392;1402745062.00;85112598655
85536;1402767718.00;96186693893
85680;1402790393.00;108947000000
85824;1402813088.00;91086292091
85968;1402835720.00;84380004324
86112;1402859507.00;84598246447
86256;1402881106.00;95345717852
86400;1402903757.00;88990927374
86544;1402926179.00;97830185216
86688;1402948901.00;99042045426
86832;1402972396.00;97882876915
86976;1402994078.00;92193766855
87120;1403016914.00;90359095946
87264;1403039051.00;97483379595
87408;1403061909.00;95202791068
87552;1403084772.00;93152736121
87696;1403107722.00;87472821037
87840;1403129806.00;103747000000
87984;1403152673.00;106231000000
88128;1403175440.00;95820823659
88272;1403198193.00;94520745457
88416;1403220870.00;107461000000
88560;1403242806.00;115566000000
88704;1403265510.00;109779000000
88848;1403289630.00;93510974945
88992;1403311636.00;88969620508
89136;1403334117.00;82341198956
89280;1403356068.00;86653401083
89424;1403379168.00;84894636985
89568;1403401809.00;92308261113
89712;1403424413.00;84709336276
89856;1403447683.00;71843745437
90000;1403470148.00;76274130658
90144;1403492408.00;86119788167
90288;1403515816.00;88687459714
90432;1403537478.00;108366000000
90576;1403560306.00;114054000000
90720;1403582269.00;119447000000
90864;1403604348.00;126265000000
91008;1403627785.00;113144000000
91152;1403650391.00;117882000000
91296;1403673784.00;108655000000
91440;1403695875.00;109464000000
91584;1403718185.00;127396000000
91728;1403741963.00;111383000000
91872;1403763799.00;111061000000
92016;1403786822.00;113876000000
92160;1403809172.00;101683000000
92304;1403832498.00;110263000000
92448;1403855152.00;112267000000
92592;1403876413.00;108898000000
92736;1403899279.00;108411000000
92880;1403921918.00;131447000000
93024;1403944705.00;124333000000
93168;1403967604.00;124976000000
93312;1403989549.00;114405000000
93456;1404013404.00;114073000000
93600;1404034489.00;124232000000
93744;1404057526.00;136829000000
